Bitcoin,,,+0.98%,"$ 67,239,254,158",,"514,537,435.54 USD"
Bitcoin Cash,,-1.6%,+119.16%,"$ 12,176,528,660",,"338,677,333.21 USD"
Ethereum,,-6.63%,+0.31%,"$ 27,441,677,647",,"164,594,854.67 USD"
Litecoin,,-4.81%,+1.15%,"$ 2,348,106,987",,"76,745,806.91 USD"
Dash,,,+4.79%,"$ 1,748,901,915",,"27,812,860.5 USD"
Ripple,,-0.61%,,,,"26,408,436.43 USD"
Neo,,,+22.4%,,,"24,348,414.02 USD"
Monero,,,+8.44%,"$ 778,688,267",,"15,716,267.65 USD"
Stratis,,-1.7%,,,,"14,966,979.65 USD"
Ethereum Classic,,-10%,+1.99%,"$ 1,287,125,586",,"13,324,581.34 USD"
Zcash,,-4.21%,,,,"13,269,542.5 USD"
OmiseGO,,,+7.3%,,,"13,164,255.09 USD"
Factom,,,+9.77%,,,"11,817,340.21 USD"
AdEx,,,+22.46%,,,"9,714,730.59 USD"
TenX Pay Token,,-43.76%,+0.98%,,,"7,399,681.53 USD"
Metal,,,+11.18%,,,"6,607,505.58 USD"
NEM,,-1.71%,,,,"6,595,451.17 USD"
EOS,,-2.33%,,,,"6,369,271.07 USD"
BitShares,,-1.53%,,,,"6,316,866.44 USD"
Qtum,,-0.31%,,,,"6,213,090.25 USD"
MaidSafe,,-4.29%,+10.57%,"$ 195,303,502",,"5,411,563.28 USD"
Macro,,,+8.47%,,,"5,140,798.71 USD"
Civic,,-20.18%,+2.74%,,,"5,027,920.37 USD"
Nextcoin,,-2.53%,,,,"4,923,274.73 USD"
DigiByte,,-5.35%,,,,"4,792,785.19 USD"
Lisk,,-6.6%,+0.43%,,,"3,873,051.2 USD"
Status,,-29.04%,+0.2%,,,"3,692,888.56 USD"
Siacoin,,-3.09%,,,,"3,637,227.31 USD"
Ark,,,+12.99%,,,"3,607,560.04 USD"
Quantum Resistant Ledger,,-6.78%,+11.98%,,,"3,123,260.93 USD"
Batcoin,,-4.59%,+2.05%,,,"2,877,157.95 USD"
Waves,,-21.77%,+2.77%,,,"2,798,706.41 USD"
Ubiq,,-8.4%,+42.8%,,,"2,768,147.31 USD"
GeoCoin,,-14.14%,+209.16%,,,"2,664,354.22 USD"
Stellar,,-1.47%,,,,"2,549,014.54 USD"
Qwark,,-6.52%,+155.68%,,,"2,545,247.72 USD"
SafeExchangeCoin,,-23.09%,+8.27%,,,"2,525,091.08 USD"
Golem,,-25.9%,+5.17%,,,"2,448,775.03 USD"
Dogecoin,,-13.16%,+0.98%,"$ 183,949,503",,"2,388,136.6 USD"
Gnosis,,-24%,+0.14%,,,"2,349,684.05 USD"
Mysterium,,-7.07%,,,,"2,188,899.1 USD"
Bantam,,-10.58%,+0.01%,,,"2,141,779.23 USD"
Storj,,-46.36%,+0.12%,,,"2,017,356.07 USD"
Bytecoin,,-27.87%,+0.02%,,,"1,994,764.55 USD"
Iconomi,,,+8.77%,,,"1,943,732.98 USD"
Decent,,-2.41%,,,,"1,834,985.26 USD"
TokenCard,,-6.85%,,,,"1,681,348.43 USD"
Shift,,-25.41%,+33.38%,,,"1,612,294.37 USD"
TRIG Token,,-6.34%,+117.81%,,,"1,602,789.45 USD"
Bitmark,,-0.73%,+23.04%,,,"1,601,640.96 USD"
Elastic,,-0.36%,,,,"1,546,016.68 USD"
Augur,,-12.76%,+0.11%,,,"1,462,704.13 USD"
VERGE,,-4.82%,,,,"1,429,360.58 USD"
LBRY Credits,,-3.22%,,,,"1,410,924.45 USD"
Byteball,,-11.25%,+2.62%,,,"1,388,755.91 USD"
Edgeless,,-3.89%,+28.95%,,,"1,381,556.11 USD"
CROWN,,,+25.86%,,,"1,335,382.1 USD"
SunContract,,,+5.37%,,,"1,294,895.49 USD"
Korecoin,,-20.92%,+45.06%,,,"1,279,579.57 USD"
DuckNote,,-5.44%,,,,"1,207,897.48 USD"
Numeraire,,-5.83%,,,,"1,198,949.84 USD"
GameCredits,,-29.53%,+0.37%,,,"1,098,947.39 USD"
Potcoin,,-5.13%,+5.33%,"$ 28,461,794",,"1,084,261.19 USD"
AlphabetCoinFund,,-1.66%,+7.94%,,,"1,022,401.68 USD"
FirstBlood,,-8.82%,,,,"1,022,098.61 USD"
STEEM,,-4%,,,,"1,021,767.36 USD"
Lumen,,-1.44%,,,,"998,740.62 USD"
ICOCOIN,,-14.31%,+14.54%,,,"937,724.35 USD"
Vertcoin,,-1.21%,+3.68%,,,"867,560.01 USD"
Unbreakablecoin,,,+104.99%,,,"823,499.64 USD"
MonetaryUnit,,-10.02%,,,,"769,489.5 USD"
Syscoin,,-2.71%,,"$ 52,785,929",,"768,224.22 USD"
Wings DAO,,,+11.87%,,,"757,583.85 USD"
Decred,,-1.71%,,,,"756,894.58 USD"
Tether,,-25.82%,,,,"749,832.28 USD"
Ardor,,-18%,+0.95%,,,"678,796.34 USD"
StorjCoinX,,-2.42%,,,,"673,479.32 USD"
OkCash,,-15.11%,+24.17%,,,"669,587.63 USD"
Syndicate,,,+66.16%,,,"659,871.94 USD"
CreditBit,,,+0.86%,,,"646,649.49 USD"
Crowdfund.IT,,-7.89%,+5.07%,,,"637,305.18 USD"
Patientory,,-9.13%,+2.94%,,,"626,606.19 USD"
Pivx,,-21.33%,+3.4%,,,"615,782.96 USD"
Reddcoin,,-2.66%,+0.1%,"$ 29,179,927",,"569,265.01 USD"
MCAP,,,+2.32%,,,"517,770.08 USD"
Lunyr,,-1.51%,,,,"510,058.43 USD"
NeoDICE,,-3.63%,,,,"487,482.19 USD"
Synereo,,-33.03%,+4.39%,,,"484,661.43 USD"
Clams,,,+1.14%,,,"456,698.67 USD"
Expanse,,-0.59%,+22.47%,,,"438,964.49 USD"
,,-0.6%,,,,"436,757.2 USD"
BitConnect,,-2.35%,+14.09%,,,"432,358.73 USD"
Signatum,,-20.27%,+8.24%,"$ 6,792,532",,"422,807.88 USD"
Nexus,,-1.52%,,,,"416,282.12 USD"
Legendarycoin,,,+2.24%,,,"414,744.01 USD"
district0x,,,+6.29%,,,"407,295.98 USD"
ZeroCoin,,-27.65%,+8.08%,,,"406,265.06 USD"
Particl,,-1.24%,,,,"395,143.91 USD"
Einsteinium,,-4.13%,,,,"387,326.75 USD"
Aragon,,-38.6%,+1.24%,,,"385,156.19 USD"
DT Token,,-11.87%,+58.34%,,,"382,096.09 USD"
Viacoin,,-3.43%,,,,"376,424.16 USD"
Chronobank,,-5.27%,+1.83%,,,"370,477.08 USD"
iEx.ec,,,+17.68%,,,"366,774.8 USD"
0xproject,,,+66.17%,,,"364,595.49 USD"
Komodo,,-17.91%,+2.93%,,,"358,305.59 USD"
Zencash,,,+8.26%,,,"340,304.86 USD"
EvergreenCoin,,,+0.93%,,,"332,400.86 USD"
BURSTCoin,,-1.5%,,,,"329,764.18 USD"
SingularDTV,,-1.21%,,,,"323,504.83 USD"
BlockNet,,-5.38%,,"$ 136,711,911",,"306,819.91 USD"
ETP,,-28.48%,+0.98%,,,"300,057.05 USD"
ParkByte,,,+3.12%,,,"268,846.43 USD"
Monacoin,,-5.15%,+0.76%,,,"265,641.63 USD"
Magi,,,+5.15%,,,"263,232.18 USD"
IOcoin,,-11.51%,+13.45%,"$ 34,263,382",,"261,293.37 USD"
